@W: CD643 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":14:34:14:34|Ignoring use clause - usb_req_gen_func_pack not found ...
@W: CD643 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":16:32:16:32|Ignoring use clause - report_decoded_pack not found ...
@W: CD638 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Signal s_hid_report is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"/home/guest/src/fpga/fpga_spi_oled/oled.vhd":45:9:45:17|Signal r_holding is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"/home/guest/src/fpga/fpga_spi_oled/oled.vhd":57:9:57:16|Signal c_screen is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL168 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/lattice/ulx3s/clocks/clk_25M_100M_7M5_12M_60M.vhd":53:4:53:17|Pruning instance scuba_vhi_inst -- not in use ... 
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 0 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 1 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 2 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 3 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 4 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 5 of signal S_hid_report is floating -- simulation mismatch possible.
